"Внутренний идентификатор";"Название товара";"Тип товара";"Код товара";Артикул;Бренд;МРЦ;"МРЦ старая";"Оптовая цена Тариф 2";"Суммарное количество";Акция
997161;"Шинопровод Denkirs TR1002-WH";Шинопровод;542444;TR1002-WH;Denkirs;1580;1810;990.00;1239;Нет
997162;"Подвод питания Denkirs TR1100-WH";"Подвод питания";542445;TR1100-WH;Denkirs;375;;213.00;1429;Нет
997163;"Подвод питания Denkirs TR1100-BK";"Подвод питания";542446;TR1100-BK;Denkirs;375;;213.00;1306;Нет
997164;"Коннектор Denkirs TR1101-WH";Коннектор;542447;TR1101-WH;Denkirs;375;;213.00;787;Нет
997165;"Коннектор Denkirs TR1101-BK";Коннектор;542448;TR1101-BK;Denkirs;375;;213.00;1330;Нет
997166;"Коннектор Denkirs TR1102-WH";Коннектор;542449;TR1102-WH;Denkirs;375;;213.00;298;Нет
997167;"Коннектор Denkirs TR1102-BK";Коннектор;542450;TR1102-BK;Denkirs;375;;213.00;326;Нет
997168;"Коннектор Denkirs TR1103-WH";Коннектор;542451;TR1103-WH;Denkirs;562;;319.00;59;Нет
997169;"Коннектор Denkirs TR1103-BK";Коннектор;542452;TR1103-BK;Denkirs;562;;319.00;93;Нет
997170;"Коннектор Denkirs TR1104-WH";Коннектор;542453;TR1104-WH;Denkirs;661;;373.00;21;Нет
997171;"Коннектор Denkirs TR1104-BK";Коннектор;542454;TR1104-BK;Denkirs;661;;373.00;36;Нет
997172;"Подвесной комплект Denkirs TR1105-WH";"Подвесной комплект";542455;TR1105-WH;Denkirs;661;;373.00;1112;Нет
997173;"Подвесной комплект Denkirs TR1105-BK";"Подвесной комплект";542456;TR1105-BK;Denkirs;661;;373.00;286;Нет
997174;"Коннектор Denkirs TR1106-WH";Коннектор;542471;TR1106-WH;Denkirs;1106;;640.00;98;Нет
997175;"Коннектор Denkirs TR1106-BK";Коннектор;542472;TR1106-BK;Denkirs;1106;;640.00;119;Нет
997176;"Заглушка Denkirs TR1107-WH";Заглушка;542473;TR1107-WH;Denkirs;88;;53.00;127;Нет
997177;"Заглушка Denkirs TR1107-BK";Заглушка;542474;TR1107-BK;Denkirs;88;;53.00;153;Нет
997337;"Встраиваемый светильник Denkirs DK3044-WH";"Встраиваемый светильник";544975;DK3044-WH;Denkirs;699;1106;299.00;66;Нет
997338;"Встраиваемый светильник Denkirs DK3045-WH";"Встраиваемый светильник";544976;DK3045-WH;Denkirs;899;1294;539.00;101;Нет
997339;"Встраиваемый светильник Denkirs DK3046-WH";"Встраиваемый светильник";544977;DK3046-WH;Denkirs;815;;408.00;441;Нет
997340;"Встраиваемый светильник Denkirs DK3048-WH";"Встраиваемый светильник";544979;DK3048-WH;Denkirs;958;;479.00;406;Нет
997407;"Светильник на шине Denkirs DK6001-WH";"Светильник на шине";542457;DK6001-WH;Denkirs;699;1166;700.00;2;Нет
997409;"Светильник на шине Denkirs DK6002-WH";"Светильник на шине";542459;DK6002-WH;Denkirs;990;1416;850.00;3;Нет
997411;"Светильник на шине Denkirs DK6003-WH";"Светильник на шине";542461;DK6003-WH;Denkirs;833;;500.00;2;Нет
997413;"Светильник на шине Denkirs DK6004-WH";"Светильник на шине";542463;DK6004-WH;Denkirs;833;;500.00;8;Нет
997415;"Светильник на шине Denkirs DK6005-WH";"Светильник на шине";542465;DK6005-WH;Denkirs;459;1083;650.00;341;Нет
999675;"Встраиваемый светильник Denkirs DK3047-WH";"Встраиваемый светильник";544978;DK3047-WH;Denkirs;815;;408.00;829;Нет
999676;"Встраиваемый светильник Denkirs DK3049-WH";"Встраиваемый светильник";544980;DK3049-WH;Denkirs;958;;533.00;794;Нет
1000247;"Встраиваемый светильник Denkirs DK2400-BK";"Встраиваемый светильник";545337;DK2400-BK;Denkirs;1483;1783;950.00;549;Нет
1000248;"Встраиваемый светильник Denkirs DK2401-BK";"Встраиваемый светильник";545338;DK2401-BK;Denkirs;1783;;950.00;380;Нет
1000249;"Встраиваемый светильник Denkirs DK2402-BK";"Встраиваемый светильник";545339;DK2402-BK;Denkirs;1783;;950.00;375;Нет
1000250;"Встраиваемый светильник Denkirs DK2410-BK";"Встраиваемый светильник";545340;DK2410-BK;Denkirs;699;1333;800.00;65;Нет
1000252;"Вставка Denkirs DK2411-GR";Вставка;545344;DK2411-GR;Denkirs;416;;250.00;157;Нет
1000253;"Вставка Denkirs DK2411-BC";Вставка;545341;DK2411-BC;Denkirs;416;;250.00;36;Нет
1000254;"Вставка Denkirs DK2411-BK";Вставка;545346;DK2411-BK;Denkirs;416;;250.00;30;Нет
1000255;"Встраиваемый светильник Denkirs DK2410-WH";"Встраиваемый светильник";545342;DK2410-WH;Denkirs;999;1333;800.00;2;Нет
1000258;"Влагозащищенный светильник Denkirs DK2403-WH";"Влагозащищенный светильник";545347;DK2403-WH;Denkirs;1150;1320;690.00;1538;Нет
1000259;"Влагозащищенный светильник Denkirs DK2403-BK";"Влагозащищенный светильник";545348;DK2403-BK;Denkirs;1150;1320;690.00;561;Нет
1000260;"Влагозащищенный светильник Denkirs DK2404-WH";"Влагозащищенный светильник";545349;DK2404-WH;Denkirs;1090;1250;654.00;970;Нет
1000261;"Влагозащищенный светильник Denkirs DK2404-BK";"Влагозащищенный светильник";545350;DK2404-BK;Denkirs;1090;1250;654.00;637;Нет
1000262;"Встраиваемый светильник Denkirs DK4400-WH";"Встраиваемый светильник";545351;DK4400-WH;Denkirs;2433;2933;1700.00;47;Нет
1000263;"Встраиваемый светильник Denkirs DK4400-BK";"Встраиваемый светильник";545352;DK4400-BK;Denkirs;2933;;1520.00;0;Нет
1000274;"Встраиваемый светильник Denkirs DK4500-WH";"Встраиваемый светильник";545336;DK4500-WH;Denkirs;3033;3533;2000.00;317;Нет
1000275;"Встраиваемый светильник Denkirs DK4500-BK";"Встраиваемый светильник";545357;DK4500-BK;Denkirs;3533;;2000.00;0;Нет
1002198;"Встраиваемый светильник Denkirs DK4400-BG";"Встраиваемый светильник";564879;DK4400-BG;Denkirs;2833;;1700.00;1;Нет
1002220;"Встраиваемый светильник Denkirs DK4500-WG";"Встраиваемый светильник";564889;DK4500-WG;Denkirs;3533;;2000.00;6;Нет
1002221;"Встраиваемый светильник Denkirs DK4400-GB";"Встраиваемый светильник";564894;DK4400-GB;Denkirs;2833;;1700.00;1;Нет
1003991;"Ночник Denkirs DK3052-WH";Ночник;564393;DK3052-WH;Denkirs;790;1916;1150.00;58;Нет
1003992;"Ночник Denkirs DK3053-WH";Ночник;564394;DK3053-WH;Denkirs;1090;1999;1199.00;304;Нет
1007473;"Встраиваемый светильник Denkirs DK3020-WB";"Встраиваемый светильник";577307;DK3020-WB;Denkirs;589;725;405.00;4;Нет
1007650;"Накладной светильник Denkirs DK2008-RO";"Накладной светильник";577315;DK2008-RO;Denkirs;399;790;1100.00;2;Нет
1007657;"Встраиваемый светильник Denkirs DK3021-WB";"Встраиваемый светильник";577308;DK3021-WB;Denkirs;589;675;405.00;9;Нет
1013445;"Накладной светильник Denkirs DK4016-WH";"Накладной светильник";566881;DK4016-WH;Denkirs;1890;2090;1150.00;353;Нет
1013451;"Светильник на шине Denkirs DK6401-BK";"Светильник на шине";566889;DK6401-BK;Denkirs;3390;;1600.00;66;Нет
1013452;"Светильник на шине Denkirs DK6401-WH";"Светильник на шине";545288;DK6401-WH;Denkirs;1790;3390;1600.00;445;Нет
1014802;"Накладной светильник Denkirs DK4016-BK";"Накладной светильник";566892;DK4016-BK;Denkirs;1890;2090;1150.00;508;Нет
1015400;"Встраиваемый светильник Denkirs DK3028-WH";"Встраиваемый светильник";588298;DK3028-WH;Denkirs;640;;354.00;1985;Нет
1015401;"Встраиваемый светильник Denkirs DK3024-WH";"Встраиваемый светильник";588299;DK3024-WH;Denkirs;725;;405.00;5500;Нет
1015402;"Встраиваемый светильник Denkirs DK3024-BK";"Встраиваемый светильник";588300;DK3024-BK;Denkirs;725;;405.00;1589;Нет
1015403;"Встраиваемый светильник Denkirs DK3029-WH";"Встраиваемый светильник";588301;DK3029-WH;Denkirs;809;;449.00;1122;Нет
1015404;"Встраиваемый светильник Denkirs DK3023-WH";"Встраиваемый светильник";588303;DK3023-WH;Denkirs;1610;;906.00;196;Нет
1089616;"Встраиваемый светильник Denkirs DK3026-BG";"Встраиваемый светильник";593127;DK3026-BG;Denkirs;680;809;455.00;355;Нет
1089617;"Встраиваемый светильник Denkirs DK3026-WB";"Встраиваемый светильник";593126;DK3026-WB;Denkirs;809;;455.00;233;Нет
1089618;"Встраиваемый светильник Denkirs DK3026-WG";"Встраиваемый светильник";593125;DK3026-WG;Denkirs;809;;455.00;323;Нет
1091219;"Встраиваемый светильник Denkirs DK4600-WW";"Встраиваемый светильник";594027;DK4600-WW;Denkirs;836;996;550.00;317;Нет
1091220;"Встраиваемый светильник Denkirs DK4601-DW";"Встраиваемый светильник";594028;DK4601-DW;Denkirs;996;;550.00;204;Нет
1091221;"Встраиваемый светильник Denkirs DK4602-WW";"Встраиваемый светильник";594029;DK4602-WW;Denkirs;399;916;550.00;811;Нет
1091222;"Встраиваемый светильник Denkirs DK4603-DW";"Встраиваемый светильник";594030;DK4603-DW;Denkirs;459;916;550.00;108;Нет
1091223;"Светильник на шине Denkirs DK6406-BK";"Светильник на шине";594031;DK6406-BK;Denkirs;2166;;1300.00;6;Нет
1805059;"Встраиваемый светильник Denkirs DK2402-GD";"Встраиваемый светильник";598762;DK2402-GD;Denkirs;1783;;950.00;116;Нет
1805060;"Встраиваемый светильник Denkirs DK2422-BK";"Встраиваемый светильник";598763;DK2422-BK;Denkirs;2983;;1586.00;561;Нет
